"results.t","results.S.t","results.Z.t","results.R.t","N","beta","kappa","rho"
89,25269,2439801,64616164,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
90,23431,2438882,64618921,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
91,21728,2438030,64621476,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
92,20149,2437240,64623845,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
93,18685,2436508,64626041,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
94,17328,2435829,64628077,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
95,16070,2435200,64629964,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
96,14904,2434616,64631714,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
97,13823,2434075,64633336,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
98,12820,2433574,64634840,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
99,11890,2433109,64636235,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
100,11028,2432678,64637528,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
101,10229,2432278,64638727,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
102,9488,2431907,64639839,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
103,8801,2431563,64640870,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
104,8163,2431244,64641827,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
105,7572,2430948,64642714,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
106,7024,2430673,64643537,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
107,6515,2430419,64644300,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
108,6043,2430183,64645008,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
109,5606,2429964,64645664,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
110,5200,2429761,64646273,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
111,4824,2429572,64646838,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
112,4475,2429397,64647362,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
113,4151,2429235,64647848,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
114,3851,2429085,64648298,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
115,3573,2428945,64648716,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
116,3315,2428815,64649104,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
117,3075,2428695,64649464,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
118,2853,2428584,64649797,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
119,2647,2428481,64650106,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
120,2456,2428385,64650393,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
121,2279,2428296,64650659,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
122,2115,2428213,64650906,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
123,1962,2428137,64651135,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
124,1820,2428066,64651348,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
125,1689,2428000,64651545,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
126,1567,2427939,64651728,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
127,1454,2427882,64651898,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
128,1349,2427830,64652055,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
129,1252,2427781,64652201,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
130,1162,2427736,64652336,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
131,1078,2427694,64652462,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
132,1000,2427655,64652579,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
133,928,2427619,64652687,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
134,861,2427586,64652787,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
135,799,2427555,64652880,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
136,742,2427526,64652966,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
137,689,2427499,64653046,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
138,640,2427474,64653120,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
139,594,2427451,64653189,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
