"results.t","results.S.t","results.Z.t","results.R.t","N","beta","kappa","rho"
59,1313,15872,449914,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
60,1224,15828,450047,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
61,1142,15786,450171,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
62,1065,15748,450286,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
63,994,15712,450393,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
64,928,15678,450493,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
65,866,15647,450586,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
66,808,15618,450673,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
67,754,15591,450754,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
68,704,15566,450829,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
69,658,15542,450899,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
70,615,15520,450964,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
71,575,15499,451025,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
72,537,15480,451082,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
73,502,15462,451135,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
74,469,15446,451184,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
75,438,15431,451230,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
76,410,15416,451273,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
77,383,15403,451313,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
78,358,15391,451350,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
79,335,15379,451385,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
80,313,15368,451418,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
81,293,15358,451448,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
82,274,15349,451476,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
83,256,15340,451503,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
84,240,15331,451528,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
85,225,15323,451551,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
86,211,15315,451573,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
87,198,15308,451593,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
88,186,15301,451612,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
89,174,15295,451630,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
90,163,15289,451647,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
91,153,15283,451663,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
92,143,15278,451678,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
93,134,15273,451692,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
94,126,15268,451705,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
95,118,15264,451717,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
96,111,15260,451728,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
97,104,15257,451738,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
98,98,15253,451748,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
99,92,15250,451757,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
100,86,15247,451766,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
101,81,15244,451774,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
102,76,15242,451781,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
103,72,15239,451788,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
104,68,15236,451795,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
105,64,15234,451801,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
106,60,15232,451807,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
107,57,15230,451812,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
108,54,15228,451817,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
109,51,15226,451822,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
110,48,15225,451826,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
111,45,15224,451830,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
112,43,15222,451834,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
113,41,15220,451838,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
114,39,15218,451842,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
115,37,15217,451845,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
116,35,15216,451848,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
117,33,15215,451851,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
118,31,15214,451854,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
119,29,15213,451857,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
120,28,15212,451859,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
121,27,15211,451861,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
122,26,15210,451863,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
123,25,15209,451865,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
124,24,15208,451867,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
125,23,15207,451869,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
126,22,15206,451871,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
127,21,15205,451873,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
128,20,15204,451875,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
129,19,15204,451876,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
130,18,15204,451877,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
