"","t","S.t","Z.t","R.t","N","beta","kappa","rho"
"31",31,34,63799,436167,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"32",32,24,63796,436180,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"33",33,17,63797,436186,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"34",34,12,63800,436188,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"35",35,9,63804,436187,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"36",36,7,63809,436184,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"37",37,5,63815,436180,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"38",38,4,63821,436175,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"39",39,3,63828,436169,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"40",40,3,63835,436162,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"41",41,3,63842,436155,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"42",42,3,63849,436148,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"43",43,3,63856,436141,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"44",44,3,63863,436134,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"45",45,3,63870,436127,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"46",46,3,63877,436120,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"47",47,3,63884,436113,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"48",48,3,63891,436106,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"49",49,3,63898,436099,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"50",50,3,63905,436092,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"51",51,3,63912,436085,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"52",52,3,63919,436078,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"53",53,3,63926,436071,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"54",54,3,63933,436064,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"55",55,3,63940,436057,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"56",56,3,63947,436050,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"57",57,3,63954,436043,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"58",58,3,63961,436036,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"59",59,3,63968,436029,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"60",60,3,63975,436022,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"61",61,3,63982,436015,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"62",62,3,63989,436008,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"63",63,3,63996,436001,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"64",64,3,64003,435994,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"65",65,3,64010,435987,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"66",66,3,64017,435980,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"67",67,3,64024,435973,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"68",68,3,64031,435966,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"69",69,3,64038,435959,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"70",70,3,64045,435952,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"71",71,3,64052,435945,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"72",72,3,64059,435938,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
