"results.t","results.S.t","results.Z.t","results.R.t","N","beta","kappa","rho"
93,15,946,28473,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
94,15,945,28474,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
95,15,944,28475,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
96,15,943,28476,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
97,15,942,28477,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
98,15,941,28478,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
99,15,940,28479,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
100,15,939,28480,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
101,15,938,28481,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
102,15,937,28482,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
103,15,936,28483,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
104,15,935,28484,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
105,15,934,28485,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
106,15,933,28486,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
107,15,932,28487,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
108,15,931,28488,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
109,15,930,28489,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
110,15,929,28490,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
111,15,928,28491,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
112,15,927,28492,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
113,15,926,28493,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
114,15,925,28494,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
115,15,924,28495,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
116,15,923,28496,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
117,15,922,28497,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
118,15,921,28498,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
119,15,920,28499,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
120,15,919,28500,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
121,15,918,28501,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
122,15,917,28502,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
123,15,916,28503,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
124,15,915,28504,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
125,15,914,28505,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
126,15,913,28506,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
127,15,912,28507,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
128,15,911,28508,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
129,15,910,28509,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
130,15,909,28510,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
131,15,908,28511,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
132,15,907,28512,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
133,15,906,28513,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
134,15,905,28514,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
135,15,904,28515,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
136,15,903,28516,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
137,15,902,28517,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
138,15,901,28518,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
139,15,900,28519,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
140,15,899,28520,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
141,15,898,28521,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
142,15,897,28522,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
143,15,896,28523,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
144,15,895,28524,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
145,15,894,28525,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
146,15,893,28526,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
147,15,892,28527,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
148,15,891,28528,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
149,15,890,28529,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
150,15,889,28530,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
